text,label,clean_text,url_count,dot_count,has_at_symbol,urgency_flag,threat_flag,suspicious_domain_flag,caps_word_count,digit_count,special_char_count
વીજળી બિલ 15 તારીખે ભરવાનું છે,0,વીજળી બિલ 15 તારીખે ભરવાનું છે,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ବସ ଟିକେଟ ବୁକ କରିଛି,0,ବସ ଟିକେଟ ବୁକ କରିଛି,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
તમારું પાર્સલ પેન્ડિંગ છે. પેમેન્ટ વિગતો અપડેટ કરો,1,તમારું પાર્સલ પેન્ડિંગ છે. પેમેન્ટ વિગતો અપડેટ કરો,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
તમારું બેંક ખાતું બંધ કરવામાં આવશે. તરત જ ક્લિક કરો,1,તમારું બેંક ખાતું બંધ કરવામાં આવશે. તરત જ ક્લિક કરો,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
एसबीआई अलर्ट: KYC अपडेट जरूरी। 24 घंटे में करें,1,एसबीआई अलर्ट: kyc अपडेट जरूरी। 24 घंटे में करें,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
மருத்துவமனைக்குச் செல்ல வேண்டும்,0,மருத்துவமனைக்குச் செல்ல வேண்டும்,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ਹਸਪਤਾਲ ਜਾਣਾ ਹੈ,0,ਹਸਪਤਾਲ ਜਾਣਾ ਹੈ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
तुमचे पार्सल प्रलंबित आहे। पेमेंट तपशील अद्यतनित करा,1,तुमचे पार्सल प्रलंबित आहे। पेमेंट तपशील अद्यतनित करा,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ایچ ڈی ایف سی بینک: آپ کا اکاؤنٹ لاک ہو جائے گا۔ تصدیق کریں,1,ایچ ڈی ایف سی بینک: آپ کا اکاؤنٹ لاک ہو جائے گا۔ تصدیق کریں,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ਪੇਟੀਐਮ: ਤੁਹਾਡੇ ਵਾਲਿਟ ਵਿੱਚ 500 ਰੁਪਏ ਬੋਨਸ। ਕਲੇਮ ਕਰੋ,1,ਪੇਟੀਐਮ: ਤੁਹਾਡੇ ਵਾਲਿਟ ਵਿੱਚ 500 ਰੁਪਏ ਬੋਨਸ। ਕਲੇਮ ਕਰੋ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
সুৰক্ষা সতৰ্কতা: অস্বাভাৱিক কাৰ্যকলাপ। তৎক্ষণাৎ পৰীক্ষা কৰক,1,সুৰক্ষা সতৰ্কতা: অস্বাভাৱিক কাৰ্যকলাপ। তৎক্ষণাৎ পৰীক্ষা কৰক,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
গুগল পে: আপোনাৰ একাউণ্টত সন্দেহজনক কাৰ্যকলাপ। পৰীক্ষা কৰক,1,গুগল পে: আপোনাৰ একাউণ্টত সন্দেহজনক কাৰ্যকলাপ। পৰীক্ষা কৰক,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
আইসিআইসিআই: কার্ড ব্লক হবে। পুনরায় সক্রিয় করুন,1,আইসিআইসিআই: কার্ড ব্লক হবে। পুনরায় সক্রিয় করুন,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
तुम आज शाम को कहाँ मिलोगे?,0,तुम आज शाम को कहाँ मिलोगे?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ગઈકાલે મદદ બદલ આભાર,0,ગઈકાલે મદદ બદલ આભાર,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഇന്നലെ സഹായിച്ചതിന് നന്ദി,0,ഇന്നലെ സഹായിച്ചതിന് നന്ദി,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
આવતીકાલે રજા છે,0,આવતીકાલે રજા છે,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
নিরাপত্তা সতর্কতা: অস্বাভাবিক কার্যকলাপ। এখনই যাচাই করুন,1,নিরাপত্তা সতর্কতা: অস্বাভাবিক কার্যকলাপ। এখনই যাচাই করুন,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ਐਚਡੀਐਫਸੀ ਬੈਂਕ: ਤੁਹਾਡਾ ਖਾਤਾ ਲਾਕ ਹੋ ਜਾਵੇਗਾ। ਪੁਸ਼ਟੀ ਕਰੋ,1,ਐਚਡੀਐਫਸੀ ਬੈਂਕ: ਤੁਹਾਡਾ ਖਾਤਾ ਲਾਕ ਹੋ ਜਾਵੇਗਾ। ਪੁਸ਼ਟੀ ਕਰੋ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Court hearing notice. Appear on mentioned date,1,court hearing notice. appear on mentioned date,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Your account has been suspended. Click here to verify,1,your account has been suspended. click here to verify,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ਵਧਾਈਆਂ! ਤੁਸੀਂ 50000 ਰੁਪਏ ਜਿੱਤੇ ਹਨ। ਹੁਣੇ ਦਾਅਵਾ ਕਰੋ,1,ਵਧਾਈਆਂ! ਤੁਸੀਂ 50000 ਰੁਪਏ ਜਿੱਤੇ ਹਨ। ਹੁਣੇ ਦਾਅਵਾ ਕਰੋ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
பேடிஎம்: உங்கள் கணக்கு முடக்கப்பட்டுள்ளது। மீண்டும் செயல்படுத்தவும்,1,பேடிஎம்: உங்கள் கணக்கு முடக்கப்பட்டுள்ளது। மீண்டும் செயல்படுத்தவும்,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ജിം മെമ്പർഷിപ്പ് അടുത്ത ആഴ്ച അവസാനിക്കുന്നു,0,ജിം മെമ്പർഷിപ്പ് അടുത്ത ആഴ്ച അവസാനിക്കുന്നു,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
আজি সন্ধিয়া ক'ত লগ হ'ম?,0,আজি সন্ধিয়া ক'ত লগ হ'ম?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
আপোনাৰ একাউণ্ট স্থগিত কৰা হৈছে। ইয়াত ক্লিক কৰক,1,আপোনাৰ একাউণ্ট স্থগিত কৰা হৈছে। ইয়াত ক্লিক কৰক,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
വൈദ്യുതി ബിൽ 15 തീയതി അടയ്ക്കണം,0,വൈദ്യുതി ബിൽ 15 തീയതി അടയ്ക്കണം,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ଏଚଡିଏଫସି ବ୍ୟାଙ୍କ: ଆପଣଙ୍କ ଖାତା ଲକ ହେବ। ଯାଞ୍ଚ କରନ୍ତୁ,1,ଏଚଡିଏଫସି ବ୍ୟାଙ୍କ: ଆପଣଙ୍କ ଖାତା ଲକ ହେବ। ଯାଞ୍ଚ କରନ୍ତୁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഗൂഗിൾ പേ: നിങ്ങളുടെ അക്കൗണ്ടിൽ സംശയാസ്പദമായ പ്രവർത്തനം. പരിശോധിക്കുക,1,ഗൂഗിൾ പേ: നിങ്ങളുടെ അക്കൗണ്ടിൽ സംശയാസ്പദമായ പ്രവർത്തനം. പരിശോധിക്കുക,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
কাল অফিস বন্ধ থাকবে,0,কাল অফিস বন্ধ থাকবে,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
కూరగాయలు కొనుక్కురావాలి,0,కూరగాయలు కొనుక్కురావాలి,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBI Alert: Complete KYC update within 48 hours,1,sbi alert: complete kyc update within 48 hours,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
ഫോൺപേ: നിങ്ങൾക്ക് 10000 രൂപ ക്യാഷ്ബാക്ക്. ലിങ്ക് ക്ലിക്ക് ചെയ്യുക,1,ഫോൺപേ: നിങ്ങൾക്ക് 10000 രൂപ ക്യാഷ്ബാക്ക്. ലിങ്ക് ക്ലിക്ക് ചെയ്യുക,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
امی نے فون کیا تھا,0,امی نے فون کیا تھا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
তুমি কি আমাকে সেই ফাইলটা পাঠাতে পারো?,0,তুমি কি আমাকে সেই ফাইলটা পাঠাতে পারো?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
