text,label
آپ کا UPS پارسل AWB8872 رکا ہوا ہے۔ ادائیگی کریں: https://verify-account.net,1
ICICI: Your card will be blocked. Click to reactivate,1
URGENT: Your Chase account will be blocked in 1 hour. Update KYC now: http://claim-reward.com,1
कृपया मुझे कल शाम तक Budget भेज दें।,0
अनुस्मारक: Google पर आपका अपॉइंटमेंट 5 PM बजे है।,0
"مبارک ہو! آپ نے Swiggy سے 50,000 BDT جیتے ہیں۔ یہاں کلیم کریں: https://update-kyc.in",1
فوری: آپ کا BoB اکاؤنٹ 2 hours میں بند کر دیا جائے گا۔ ابھی KYC اپ ڈیٹ کریں: https://update-kyc.in,1
Your Bank of America account has been suspended. Please click https://update-kyc.in to verify.,1
अनुस्मारक: Swiggy पर आपका अपॉइंटमेंट Monday बजे है।,0
নিরাপত্তা সতর্কতা: আপনার Apple অ্যাকাউন্টে অস্বাভাবিক কার্যকলাপ। যাচাই করুন: https://update-kyc.in,1
హెచ్‌డిఎఫ్‌సి బ్యాంక్: మీ ఖాతా లాక్ అవుతుంది. వెరిఫై చేయండి,1
Let's go for Coffee this weekend.,0
URGENT: Your BoB account will be blocked in 2 hours. Update KYC now: https://verify-account.net,1
Let's go for Movie this weekend.,0
"Tax Refund: You are eligible for a refund of 1,00,000. Fill form: https://verify-account.net",1
अनुस्मारक: Uber पर आपका अपॉइंटमेंट 10 AM बजे है।,0
Can you share the link for the Coffee?,0
तुमचा गॅस सिलिंडर सबसिडी थांबेल। अपडेट करा,1
जन्मदिन मुबारक हो Arjun! आपका दिन शुभ हो।,0
कल Code में आपकी मदद के लिए धन्यवाद।,0
Your Spotify password was changed. Reset now if unauthorized: https://update-kyc.in,1
Can you share the link for the Wedding?,0
Your BoB account has been suspended. Please click http://claim-reward.com to verify.,1
"Your Flipkart package #12345 is pending. Pay 50,000 to release: https://update-kyc.in",1
Get 70% discount on your next order at Spotify. Limited time: https://update-kyc.in,1
আজ রাতে রেস্তোরাঁয় দেখা হবে,0
अनुस्मारक: Microsoft पर आपका अपॉइंटमेंट Monday बजे है।,0
कल Meeting Notes में आपकी मदद के लिए धन्यवाद।,0
कल Budget में आपकी मदद के लिए धन्यवाद।,0
Let's go for Wedding this weekend.,0
