text,label
உங்கள் HDFC கணக்கு முடக்கப்பட்டுள்ளது. சரிபார்க்க: http://goo.gl/verify-account,1
உங்கள் BlueDart பார்சல் நிறுத்தி வைக்கப்பட்டுள்ளது. கட்டணம் செலுத்த: https://bank-kyc.net,1
সাহায্যের জন্য ধন্যবাদ। 1102,0
ਕੱਲ੍ਹ ਛੁੱਟੀ ਹੈ,0
ସାହାଯ୍ୟ ପାଇଁ ଧନ୍ୟବାଦ। 7666,0
Hyderabad-ত বৰষুণ দিছে নেকি?,0
Chennai ଯାତ୍ରା କେମିତି ଥିଲା?,0
জৰুৰী: আপোনাৰ KYC আপডেট কৰক: http://goo.gl/verify-account 9042,1
അഭിനന്ദനങ്ങൾ! നിങ്ങൾ 25000 INR നേടിയിരിക്കുന്നു. ക്ലെയിം ചെയ്യാൻ: https://bank-kyc.net,1
Happy birthday! Have a great one. 7350,0
મદદ માટે આભાર. 5252,0
Are we meeting for lunch at 5 PM? 3779,0
అభినందనలు! మీరు 5000 ₹ గెలుచుకున్నారు. క్లెయిమ్ చేయండి: https://short.url/pay-bill,1
സഹായത്തിന് നന്ദی. 6451,0
ଜରୁରୀ: ଆପଣଙ୍କ KYC ଅପଡੇଟ୍ କରନ୍ତୁ: http://goo.gl/verify-account,1
అత్యవసరం: మీ KYCని వెంటనే అప్‌డేట్ చేయండి: http://goo.gl/verify-account 6949,1
શું આપણે આજે મળીશું? 2097,0
ജന്മദിനാശംസകൾ! 3072,0
ଆପଣଙ୍କ Delhivery ପାର୍ସଲ୍ ଅଟକି ରହିଛି। ଶୁଳ୍କ ଦିଅନ୍ତୁ: https://short.url/pay-bill,1
আপোনাৰ Facebook একাউণ্টত অস্বাভাৱিক কাৰ্যকলাপ। চাওক: https://verify-secure.in 8904,1
అభినందనలు! మీరు 75000 Rs గెలుచుకున్నారు. క్లెయిమ్ చేయండి: https://bank-kyc.net 9398,1
உதவிக்கு நன்றி.,0
ಸಹಾಯಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. 3463,0
জন্মদিনৰ শুভকামনা জনালোঁ! 7638,0
మీ Yes Bank ఖాతా నిలిపివేయబడింది. ధృవీకరించండి: https://bank-kyc.net,1
আজ কি দেখা হবে? 7121,0
ನಿಮ್ಮ BlueDart ಪಾರ್ಸೆಲ್ ಬಾಕಿಯಿದೆ. ಹಣ ಪಾವತಿಸಿ: http://goo.gl/verify-account,1
ಅಮ್ಮ ಫೋನ್ ಮಾಡಿದ್ದರು,0
জৰুৰী: আপোনাৰ KYC আপডেট কৰক: http://claim-prize.top,1
Bangalore-ত বৰষুণ দিছে নেকি?,0
آپ کے Facebook اکاؤنٹ میں مشکوک سرگرمی۔ چیک کریں: https://short.url/pay-bill,1
कृपया मुझे फाइल भेजें। 3315,0
ମୁଁ ଘରେ ପହଞ୍ଚି ଗଲିଣି। 8322,0
ਜਰੂਰੀ: ਆਪਣਾ KYC ਅਪਡੇਟ ਕਰੋ: http://bit.ly/update-now 9077,1
സഹായത്തിന് നന്ദی. 3414,0
సహాయం చేసినందుకు ధನ್ಯవాదాలు. 5279,0
ਸੁਰੱਖਿਆ ਚੇਤਾਵਨੀ: ਅਸਧਾਰਨ ਗਤੀਵਿਧੀ। ਤੁਰੰਤ ਪੁਸ਼ਟੀ ਕਰੋ,1
আপনার SBI অ্যাকাউন্ট বন্ধ করা হয়েছে। যাচাই করুন: http://goo.gl/verify-account,1
Hyderabad பயணம் எப்படி இருந்தது? 6658,0
क्या हम शाम को मिल रहे हैं? 3148,0
வாழ்த்துக்கள்! நீங்கள் 50000 INR வென்றுள்ளீர்கள். பெற: https://verify-secure.in,1
জরুরী: আপনার KYC আপডেট করুন: https://short.url/pay-bill 8313,1
મમ્મીએ ફોન કર્યો હતો,0
अभिनंदन! तुम्ही 75000 ₹ जिंकले आहेत. मिळवा: http://claim-prize.top,1
ସାହାଯ୍ୟ ପାଇଁ ଧନ୍ୟବାଦ। 4541,0
আপোনাৰ XpressBees পাৰ্চেলটো ৰৈ আছে। মাছুল জমা দিয়ক: http://claim-prize.top,1
Package from Ecom Express is delayed. Pay fee: https://bank-kyc.net 1176,1
మీ XpressBees పార్శిల్ ఆగిపోయింది. చెల్లించండి: https://short.url/pay-bill 3534,1
ਜਰੂਰੀ: ਆਪਣਾ KYC ਅਪਡੇਟ ਕਰੋ: http://claim-prize.top 8310,1
