text,label
Your account has been suspended. Click here to verify,1
URGENT: Your bank account will be closed in 24 hours,1
Congratulations! You won $10000. Claim now,1
Your package is pending. Update payment details,1
Security alert: Unusual activity detected. Verify now,1
Hey are we meeting at 5pm?,0
Thanks for the help yesterday,0
Can you send me the project files?,0
See you at the restaurant tonight,0
Happy birthday! Hope you have a great day,0
आपका बैंक खाता बंद कर दिया जाएगा। तुरंत क्लिक करें,1
बधाई हो! आपने 50000 रुपये जीते हैं। अभी दावा करें,1
सुरक्षा चेतावनी: असामान्य गतिविधि। तुरंत सत्यापित करें,1
आपका खाता निलंबित कर दिया गया है। यहां क्लिक करें,1
आपका पार्सल रुका हुआ है। भुगतान विवरण अपडेट करें,1
तुम आज शाम को कहाँ मिलोगे?,0
कल की मदद के लिए धन्यवाद,0
क्या तुम मुझे वो फाइल भेज सकते हो?,0
आज रात डिनर पर मिलते हैं,0
जन्मदिन मुबारक हो! खुश रहो,0
আপনার ব্যাংক অ্যাকাউন্ট বন্ধ করা হবে। এখনই ক্লিক করুন,1
অভিনন্দন! আপনি 50000 টাকা জিতেছেন। এখনই দাবি করুন,1
নিরাপত্তা সতর্কতা: অস্বাভাবিক কার্যকলাপ। এখনই যাচাই করুন,1
আপনার অ্যাকাউন্ট স্থগিত করা হয়েছে। এখানে ক্লিক করুন,1
আপনার প্যাকেজ আটকে আছে। পেমেন্ট বিবরণ আপডেট করুন,1
আজ সন্ধ্যায় কোথায় দেখা হবে?,0
গতকালের সাহায্যের জন্য ধন্যবাদ,0
তুমি কি আমাকে সেই ফাইলটা পাঠাতে পারো?,0
আজ রাতে রেস্তোরাঁয় দেখা হবে,0
জন্মদিনের শুভেচ্ছা! ভালো থেকো,0
உங்கள் வங்கி கணக்கு மூடப்படும். உடனே கிளிக் செய்யவும்,1
வாழ்த்துகள்! நீங்கள் 50000 ரூபாய் வென்றுள்ளீர்கள். உடனே கோருங்கள்,1
பாதுகாப்பு எச்சரிக்கை: அசாதாரண செயல்பாடு. உடனே சரிபார்க்கவும்,1
உங்கள் கணக்கு இடைநிறுத்தப்பட்டுள்ளது. இங்கே கிளிக் செய்யவும்,1
உங்கள் பார்சல் நிலுவையில் உள்ளது. கட்டண விவரங்களை புதுப்பிக்கவும்,1
இன்று மாலை எங்கே சந்திப்போம்?,0
நேற்று உதவிய்க்கு நன்றி,0
அந்த கோப்புகளை அனுப்ப முடியுமா?,0
