text,label,clean_text,url_count,dot_count,has_at_symbol,urgency_flag,threat_flag,suspicious_domain_flag,caps_word_count,digit_count,special_char_count
আজ কি দেখা হবে? 4926,0,আজ কি দেখা হবে? 4926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
നിങ്ങളുടെ പാർസൽ തീർപ്പാക്കാത്തതാണ്. പേയ്മെന്റ് വിശദാംശങ്ങൾ അപ്ഡേറ്റ് ചെയ്യുക,1,നിങ്ങളുടെ പാർസൽ തീർപ്പാക്കാത്തതാണ്. പേയ്മെന്റ് വിശദാംശങ്ങൾ അപ്ഡേറ്റ് ചെയ്യുക,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
మీ Kotak ఖాతా నిలిపివేయబడింది. ధృవీకరించండి: http://tinyurl.com/secure-login,1,మీ kotak ఖాతా నిలిపివేయబడింది. ధృవీకరించండి: http:/tinyurl.com/secure-login,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
അഭിനന്ദനങ്ങൾ! നിങ്ങൾ 5000 Rs നേടിയിരിക്കുന്നു. ക്ലെയിം ചെയ്യാൻ: https://short.url/pay-bill,1,അഭിനന്ദനങ്ങൾ! നിങ്ങൾ 5000 rs നേടിയിരിക്കുന്നു. ക്ലെയിം ചെയ്യാൻ: https:/short.url/pay-bill,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
શું આપણે આજે મળીશું? 5024,0,શું આપણે આજે મળીશું? 5024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
ತುರ್ತು: ನಿಮ್ಮ KYC ನವೀಕರಿಸಿ: http://tinyurl.com/secure-login 1249,1,ತುರ್ತು: ನಿಮ್ಮ kyc ನವೀಕರಿಸಿ: http:/tinyurl.com/secure-login 1249,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0
મહેરબાની કરીને ફાઇલ મોકલો. 1055,0,મહેરબાની કરીને ફાઇલ મોકલો. 1055,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
ਵਧਾਈ ਹੋਵੇ! ਤੁਸੀਂ 25000 INR ਜਿੱਤੇ ਹਨ। ਇੱਥੇ ਪ੍ਰਾਪਤ ਕਰੋ: http://goo.gl/verify-account,1,ਵਧਾਈ ਹੋਵੇ! ਤੁਸੀਂ 25000 inr ਜਿੱਤੇ ਹਨ। ਇੱਥੇ ਪ੍ਰਾਪਤ ਕਰੋ: http:/goo.gl/verify-account,1.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0
तुमचा FedEx पार्सल थांबला आहे. शुल्क भरा: http://tinyurl.com/secure-login,1,तुमचा fedex पार्सल थांबला आहे. शुल्क भरा: http:/tinyurl.com/secure-login,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
बधाई हो! आपने 25000 ₹ जीते हैं। दावा करें: https://bank-kyc.net,1,बधाई हो! आपने 25000 ₹ जीते हैं। दावा करें: https:/bank-kyc.net,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
